Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,id,likes,geometry,nearest_geom,nearest_block
Roosevelt Island,40.76215960576283,-73.94916769227953,Michelle's Bench,40.7587926244101,-73.95281165223848,Park,5a6a441cd552c712a6e0c07a,0,POINT (-73.95281165223848 40.7587926244101),POINT (-73.953919598 40.7581407035),36061023801
Turtle Bay,40.752042369507215,-73.96770824581834,Pietro's,40.750838292591425,-73.97254320978729,Italian Restaurant,4b2042fff964a5208f2f24e3,40,POINT (-73.97254320978729 40.75083829259142),POINT (-73.9729145729 40.7513567839),36061008800
Van Nest,40.84360847124718,-73.86629918075609,Green Olive Deli & Grill,40.84546136399067,-73.86527734152432,Deli / Bodega,4e01c2aab0fbdf39a45832c0,1,POINT (-73.86527734152432 40.84546136399067),POINT (-73.8652763819 40.8463316583),36005023200
Tompkinsville,40.637316067110326,-74.08055351790115,Van Duzer Deli,40.637943,-74.078234,Deli / Bodega,4db32bf093a017099dbe0e3f,0,POINT (-74.07823399999999 40.637943),POINT (-74.0773869347 40.6382914573),36085000300
Upper East Side,40.77563857330181,-73.96050763135,Levain Bakery,40.777353999999995,-73.95528399999999,Bakery,5d2ccef540f3b0002ffe517d,32,POINT (-73.95528399999999 40.777354),POINT (-73.953919598 40.7762311558),36061013800
Rossville,40.54940400650072,-74.21572851113952,Pino's Pizzeria,40.55171605013005,-74.21205118341051,Pizza Place,4c084338bbc676b0525146d5,5,POINT (-74.21205118341051 40.55171605013005),POINT (-74.2135175879 40.552361809),36085020801
Red Hook,40.67625323025089,-74.01275897473559,Dry Dock Wine & Spirits,40.6750400413786,-74.01568651199341,Wine Shop,4b78337af964a520d5bb2ee3,55,POINT (-74.01568651199341 40.6750400413786),POINT (-74.0172361809 40.6744723618),36047005300
Concourse,40.83428380733851,-73.91558941773444,CTown Supermarkets,40.83012155468137,-73.9178341627121,Grocery Store,4cf68a5beb096ea8d300c648,3,POINT (-73.9178341627121 40.83012155468137),POINT (-73.91909547739999 40.8305025126),36005018102
Little Italy,40.71932379395907,-73.99730467208073,Maman,40.720222,-73.998327,Café,5431872b498eec43384fd39d,358,POINT (-73.998327 40.720222),POINT (-73.998241206 40.7196984925),36061004100
Gowanus,40.67393114318715,-73.99444087145339,Buttermilk Channel,40.676012,-73.999183,American Restaurant,49c7bfecf964a520bb571fe3,933,POINT (-73.999183 40.676012),POINT (-73.998241206 40.6767336683),36047007700
Hamilton Heights,40.823604284811935,-73.94968791883366,Brahman Yoga Studio,40.82531930121826,-73.94784807016127,Yoga Studio,539487f4498e2f3990601b71,20,POINT (-73.94784807016127 40.82531930121826),POINT (-73.9475879397 40.8259798995),36061022900
Park Slope,40.67232052268197,-73.97705030183924,Café Regular du Nord,40.67515658418125,-73.97530161274537,Coffee Shop,4a64e954f964a520f6c61fe3,300,POINT (-73.97530161274537 40.67515658418125),POINT (-73.97608040199999 40.6744723618),36047015700
Castle Hill,40.81901437698832,-73.84802729582734,Chase Bank,40.8230706,-73.8487233,Bank,4d876f659324236a7701f60e,6,POINT (-73.8487233 40.8230706),POINT (-73.84944723619998 40.823718593),36005009800
Sunnyside Gardens,40.74565180608076,-73.91819286431682,Chase Bank,40.743358424851735,-73.91716752209015,Bank,5228c735fcf629660e9fad15,1,POINT (-73.91716752209015 40.74335842485173),POINT (-73.91592964819999 40.7423115578),36081023500
Cobble Hill,40.687919722485574,-73.99856139218463,Mitoushi Sushi,40.69018179401824,-73.99398312402836,Japanese Restaurant,4bafd791f964a5203c253ce3,48,POINT (-73.99398312402836 40.69018179401824),POINT (-73.99507537689999 40.6903015075),36047004500
Concourse,40.83428380733851,-73.91558941773444,Baskin-Robbins,40.835429920288476,-73.92101643325563,Ice Cream Shop,4e4e4516bd4101d0d7a6755d,1,POINT (-73.92101643325563 40.83542992028848),POINT (-73.92226130649999 40.8350251256),36005019700
