,Borough,Venue,VenueCategory,MeanCommute,IncomePerCap,Professional,Service,Walk,PublicWork,likes,VenueCategoryGroups
179,Brooklyn,Haenyeo,Korean Restaurant,36.0,63430.0,79.1,3.5,11.4,11.2,46,1
180,Brooklyn,Hot Bagels,Bagel Shop,40.7,34346.0,48.7,17.7,13.7,4.6,11,3
181,Manhattan,Fever-Tree Porch At Bryant Park,Bar,19.9,85826.0,74.8,3.6,47.7,1.6,5,2
182,Manhattan,citizenM Bowery,Hotel,24.9,53593.0,50.2,15.7,33.6,6.0,19,4
183,Manhattan,The Lazy Llama Coffee Bar,Coffee Shop,27.1,55379.0,67.8,7.2,20.2,6.9,37,2
184,Brooklyn,St. Anselm,American Restaurant,31.6,62145.0,75.9,6.5,4.9,4.9,918,1
185,Brooklyn,Prema Yoga,Yoga Studio,35.9,68519.0,71.1,8.7,10.1,19.4,33,4
186,Manhattan,Tenzan,Sushi Restaurant,24.6,120863.0,65.9,7.6,42.9,5.8,123,1
187,Queens,Sotto Le Stelle,Pizza Place,41.3,33648.0,41.2,30.6,5.0,10.3,50,0
188,Manhattan,Bryant Park,Park,19.9,85826.0,74.8,3.6,47.7,1.6,3920,4
189,Brooklyn,Wendy’s,Fast Food Restaurant,60.3,28869.0,38.0,29.7,1.8,26.1,9,1
190,Brooklyn,Mill Basin Bagel Cafe,Bagel Shop,37.8,36838.0,41.8,18.2,1.6,19.8,38,3
191,Queens,Avenue Z Desserts,Bakery,46.3,18926.0,20.2,38.8,4.4,22.9,0,3
192,Bronx,"MTA MaBSTOA Bus at East 167th St & Morris Ave: (Bx32, Bx35)",Bus Station,41.1,13799.0,8.4,39.8,10.0,10.9,1,5
193,Brooklyn,Table 87,Italian Restaurant,37.6,56582.0,66.3,6.0,5.5,13.3,109,0
194,Bronx,Mta Bx 5,Bus Station,48.5,13846.0,26.3,32.0,7.2,24.2,0,5
195,Brooklyn,Park Slope Yoga,Yoga Studio,40.7,70579.0,75.6,3.9,5.0,12.4,31,4
196,Bronx,Antonio's Trattoria,Italian Restaurant,40.8,13881.0,25.1,35.3,19.0,9.8,47,0
197,Manhattan,Noy Skincare,Spa,24.1,108621.0,73.5,3.1,51.1,5.4,18,4
198,Bronx,New Morris Deli,Deli / Bodega,46.8,22513.0,22.4,28.1,7.1,16.8,22,3
199,Brooklyn,Court Street Bagels,Bagel Shop,31.8,79747.0,72.6,12.9,12.0,7.6,65,3
200,Queens,Starbucks,Coffee Shop,43.8,39540.0,50.7,14.0,2.6,18.7,3,2
201,Brooklyn,Luzzo's BK,Pizza Place,32.4,92429.0,76.3,5.7,13.1,10.4,169,0
202,Bronx,Kiraku Hibachi & Sushi,Sushi Restaurant,31.8,35402.0,50.0,21.5,16.9,23.7,12,1
203,Manhattan,M'o Gelato,Ice Cream Shop,24.9,53593.0,50.2,15.7,33.6,6.0,67,3
204,Queens,Alingan Wine & Liquor,Wine Shop,35.8,33706.0,47.7,12.6,9.4,8.9,5,3
205,Manhattan,Famous Fish Market,Seafood Restaurant,35.6,33640.0,50.4,25.6,7.5,9.1,79,1
206,Queens,F. Ottomanelli Burgers and Belgian Fries,Burger Joint,36.2,26473.0,31.9,28.3,2.3,3.5,70,1
207,Queens,Bean & Bean,Coffee Shop,42.1,35634.0,46.5,17.4,6.9,14.8,5,2
208,Manhattan,Sistina,Italian Restaurant,24.1,209894.0,75.2,3.3,24.6,1.3,31,0
209,Bronx,Fine Fare,Supermarket,49.0,29947.0,30.3,25.2,5.8,18.9,2,3
210,Staten Island,The Original Goodfella's Brick Oven Pizza,Pizza Place,40.5,31408.0,35.4,23.7,5.0,17.0,70,0
211,Bronx,Mario's Restaurant & Catering,Italian Restaurant,40.8,13881.0,25.1,35.3,19.0,9.8,57,0
212,Brooklyn,Daily Press Coffee,Coffee Shop,46.6,14719.0,24.3,30.6,3.6,17.7,34,2
213,Manhattan,PuTawn Local Thai Kitchen,Thai Restaurant,31.5,97580.0,67.6,4.0,12.0,4.7,27,1
214,Queens,Burger King/Popeyes,Fast Food Restaurant,37.2,40302.0,44.2,11.8,0.5,16.6,5,1
215,Staten Island,Perkins Restaurant & Bakery,American Restaurant,43.2,32481.0,46.7,13.9,2.9,15.9,45,1
216,Queens,Subway,Sandwich Place,37.2,40302.0,44.2,11.8,0.5,16.6,1,1
217,Manhattan,Plowshares Coffee Bloomingdale,Coffee Shop,37.2,71348.0,74.2,8.2,7.3,6.9,181,2
218,Queens,Dunkin',Donut Shop,37.8,45570.0,62.1,7.1,2.3,10.4,28,3
219,Manhattan,Equinox Wall Street,Gym,24.9,89303.0,71.9,3.0,27.8,5.9,308,4
220,Manhattan,Mr. Tofu,Korean Restaurant,39.5,29360.0,29.5,26.0,11.7,7.6,18,1
221,Manhattan,Emack & Bolio's Ice Cream,Ice Cream Shop,31.5,97580.0,67.6,4.0,12.0,4.7,307,3
222,Bronx,Dunkin',Donut Shop,42.5,12208.0,9.1,40.9,7.1,4.5,28,3
223,Brooklyn,Yoshi,Japanese Restaurant,50.2,27882.0,36.4,23.9,2.0,26.8,7,1
224,Bronx,Clason Point Park,Park,45.0,27700.0,32.2,23.4,1.4,25.3,7,4
225,Bronx,Mike's Deli,Deli / Bodega,40.8,13881.0,25.1,35.3,19.0,9.8,18,3
226,Brooklyn,Sushi Katsuei,Japanese Restaurant,37.6,79572.0,81.2,2.0,11.1,11.2,107,1
227,Brooklyn,Coffey Park,Park,44.8,13176.0,14.3,32.4,17.3,15.0,45,4
228,Manhattan,Pier 25 - Hudson River Park,Park,28.3,142738.0,70.2,4.1,20.6,9.5,194,4
229,Bronx,Arthur Avenue Fiasco,Italian Restaurant,40.8,13881.0,25.1,35.3,19.0,9.8,10,0
230,Bronx,Emilio's Pizza,Pizza Place,36.2,23930.0,38.4,16.5,17.1,11.0,43,0
231,Queens,Hagane,Japanese Restaurant,37.2,40302.0,44.2,11.8,0.5,16.6,13,1
232,Brooklyn,Los Papis,Latin American Restaurant,32.9,100012.0,79.5,4.0,7.6,6.7,44,1
233,Manhattan,Y7 – Upper East Side,Yoga Studio,26.8,141682.0,79.0,1.7,11.6,2.9,49,4
234,Queens,Roma's Deli,Deli / Bodega,40.5,44662.0,50.3,19.5,6.8,17.6,0,3
235,Brooklyn,Key Fresh & Natural,Grocery Store,43.6,16396.0,17.7,29.9,10.8,10.7,1,3
236,Queens,Chase Bank,Bank,44.7,29973.0,43.7,12.4,2.3,14.0,2,5
237,Manhattan,Simply Wine,Wine Shop,24.9,89303.0,71.9,3.0,27.8,5.9,20,3
238,Manhattan,Hanyang Mart,Supermarket,40.8,25720.0,32.4,23.4,8.0,12.7,35,3
239,Bronx,Moe's Southwest Grill,Mexican Restaurant,54.9,26663.0,33.3,29.8,7.0,31.7,1,1
240,Bronx,Fish N Chips,Seafood Restaurant,36.5,13793.0,13.4,44.1,5.3,13.6,0,1
241,Queens,Skillman Famous Pizza and Coffee Shop,Pizza Place,41.3,33648.0,41.2,30.6,5.0,10.3,10,0
242,Queens,The Classic Diner,Diner,42.9,20317.0,19.0,31.0,2.9,13.3,58,1
243,Manhattan,Chinelos,Mexican Restaurant,38.6,17791.0,35.7,30.9,5.8,15.4,6,1
244,Manhattan,Geo Si Gi Restaurant,Korean Restaurant,39.5,29360.0,29.5,26.0,11.7,7.6,34,1
245,Queens,Hilton Garden Inn,Hotel,28.9,74751.0,70.2,9.5,1.9,8.5,59,4
246,Manhattan,Smith & Mills,American Restaurant,28.3,142738.0,70.2,4.1,20.6,9.5,350,1
247,Bronx,CTown Supermarkets,Grocery Store,44.1,10361.0,12.7,44.5,11.2,7.1,1,3
248,Manhattan,Complete Body,Gym,24.9,89303.0,71.9,3.0,27.8,5.9,80,4
249,Manhattan,Vittorio's Pizza Plus,Pizza Place,35.6,33640.0,50.4,25.6,7.5,9.1,15,0
250,Manhattan,Mikey Likes It Ice Cream,Ice Cream Shop,30.0,59917.0,69.2,9.4,25.5,4.9,240,3
251,Manhattan,Katz's Delicatessen,Sandwich Place,28.8,60670.0,65.1,15.3,22.4,3.1,1575,1
252,Staten Island,Fatboys Deli & Bagels,Bagel Shop,42.2,35567.0,38.8,13.4,2.3,18.3,2,3
253,Brooklyn,Rite Aid,Pharmacy,47.4,25642.0,33.4,17.2,4.3,30.8,4,3
254,Queens,Alba's Pizza & Restaurant,Italian Restaurant,35.8,33706.0,47.7,12.6,9.4,8.9,27,0
255,Staten Island,La Campeña,Deli / Bodega,42.4,19980.0,28.9,38.0,1.7,17.4,0,3
256,Manhattan,Italianissimo Ristorante,Italian Restaurant,32.2,98530.0,73.8,6.9,15.5,8.3,33,0
257,Queens,Capital One Bank,Bank,37.8,45570.0,62.1,7.1,2.3,10.4,0,5
258,Bronx,Madonia Bakery,Bakery,40.8,13881.0,25.1,35.3,19.0,9.8,78,3
259,Queens,Varsi Salumeria,Deli / Bodega,37.1,28556.0,39.7,16.8,2.2,15.5,9,3
260,Bronx,R&Z Gourmet Deli,Deli / Bodega,46.8,22513.0,22.4,28.1,7.1,16.8,2,3
261,Staten Island,Joann's Deli,Deli / Bodega,40.5,28115.0,43.8,24.3,5.1,29.7,6,3
262,Bronx,Zeppieri & Sons Italian Bakery,Bakery,42.7,28686.0,31.4,30.5,1.6,22.0,31,3
263,Queens,Mi Casa Bar & Restaurant,Latin American Restaurant,46.8,24046.0,44.6,22.1,10.1,12.4,11,1
264,Brooklyn,Blue Collar,Burger Joint,33.2,28717.0,42.0,19.9,9.0,7.9,263,1
265,Manhattan,Ludlow Coffee Supply,Coffee Shop,28.8,60670.0,65.1,15.3,22.4,3.1,297,2
266,Manhattan,Follia,Italian Restaurant,23.6,106434.0,73.8,6.2,24.7,4.2,51,0
267,Staten Island,Burrito Bar,Mexican Restaurant,34.8,40747.0,49.5,15.8,2.1,30.1,71,1
268,Manhattan,Il Caffe Latte,Café,41.5,21559.0,30.2,28.8,5.4,11.2,48,2
269,Bronx,Ann Clair's Salumeria,Deli / Bodega,36.0,31680.0,31.6,43.9,18.4,18.6,51,3
270,Queens,CVS pharmacy,Pharmacy,47.1,14468.0,17.8,30.5,10.3,11.2,7,3
271,Manhattan,Baker's Pizza,Pizza Place,30.0,59917.0,69.2,9.4,25.5,4.9,42,0
272,Brooklyn,Cobble Hill Park,Park,32.4,92429.0,76.3,5.7,13.1,10.4,56,4
273,Brooklyn,Lift / Next Level Floats (Brooklyn),Spa,32.2,77933.0,67.5,7.8,11.2,6.7,37,4
274,Manhattan,Milk & Cream Cereal Bar,Ice Cream Shop,24.9,53593.0,50.2,15.7,33.6,6.0,168,3
275,Manhattan,Chase Bank,Bank,38.6,17791.0,35.7,30.9,5.8,15.4,1,5
276,Manhattan,Gourmet Unlimited Deli,Sandwich Place,28.5,89203.0,67.6,11.1,33.0,4.2,12,1
277,Manhattan,Champion Pizza,Pizza Place,24.1,118156.0,65.7,2.7,16.3,1.4,913,0
278,Manhattan,Dunkin',Donut Shop,35.6,33640.0,50.4,25.6,7.5,9.1,49,3
279,Manhattan,Bubby's,American Restaurant,28.3,142738.0,70.2,4.1,20.6,9.5,546,1
280,Bronx,Harding Park,Park,43.0,22180.0,28.7,17.1,2.9,16.2,4,4
281,Manhattan,Takahachi Bakery,Bakery,22.5,80454.0,67.8,6.9,32.0,10.8,251,3
282,Manhattan,NR,Cocktail Bar,33.3,81356.0,70.1,2.3,18.0,5.3,17,2
283,Bronx,Ray's Pizza Restaurant,Pizza Place,42.9,14559.0,9.3,43.8,6.5,3.4,2,0
284,Staten Island,Orange Leaf,Ice Cream Shop,43.0,48817.0,41.4,9.6,0.7,15.3,1,3
285,Brooklyn,Luke's Lobster,Seafood Restaurant,22.5,80454.0,67.8,6.9,32.0,10.8,66,1
286,Brooklyn,Gran Eléctrica,Mexican Restaurant,32.9,100012.0,79.5,4.0,7.6,6.7,233,1
287,Bronx,Best Deli & Grocery,Deli / Bodega,29.1,7124.0,24.1,23.2,36.5,11.0,15,3
288,Brooklyn,Mr. Kam,Chinese Restaurant,37.8,36838.0,41.8,18.2,1.6,19.8,0,1
289,Bronx,Dominick's Restaurant,Italian Restaurant,40.8,13881.0,25.1,35.3,19.0,9.8,101,0
290,Manhattan,Birch Coffee,Coffee Shop,31.1,100936.0,69.4,5.5,11.3,8.2,82,2
291,Brooklyn,Bklyn Habit,Coffee Shop,35.9,68519.0,71.1,8.7,10.1,19.4,51,2
292,Queens,Starbucks,Coffee Shop,28.9,74751.0,70.2,9.5,1.9,8.5,24,2
293,Bronx,Golden City Chinese Restaurant,Chinese Restaurant,48.5,13846.0,26.3,32.0,7.2,24.2,0,1
294,Manhattan,Sushi Suki,Sushi Restaurant,31.5,97580.0,67.6,4.0,12.0,4.7,19,1
295,Manhattan,Wholesome Factory,Deli / Bodega,37.0,50463.0,73.6,6.4,5.1,16.7,25,3
296,Manhattan,The Ludlow Hotel,Hotel,28.8,60670.0,65.1,15.3,22.4,3.1,82,4
297,Staten Island,Bars,Bar,43.0,48817.0,41.4,9.6,0.7,15.3,0,2
298,Manhattan,Blue Bottle Coffee,Coffee Shop,19.9,85826.0,74.8,3.6,47.7,1.6,736,2
299,Brooklyn,68 Jay St Bar,Bar,32.9,100012.0,79.5,4.0,7.6,6.7,59,2
300,Manhattan,Bagelworks,Bagel Shop,25.7,68495.0,66.2,7.1,36.0,5.9,67,3
301,Manhattan,Taqueria Y Fonda,Mexican Restaurant,37.2,71348.0,74.2,8.2,7.3,6.9,124,1
302,Queens,First Stop Bar&Grill,Bar,28.9,74751.0,70.2,9.5,1.9,8.5,4,2
303,Staten Island,Gogo's deli,Deli / Bodega,35.3,46678.0,43.1,15.0,0.8,30.1,0,3
304,Bronx,Pizza Hut,Pizza Place,38.8,13290.0,19.5,40.5,10.1,15.2,4,0
305,Brooklyn,Rite Aid,Pharmacy,51.7,31632.0,42.7,24.6,5.4,27.5,10,3
306,Manhattan,La Vela Dining & Bar,Italian Restaurant,26.8,82399.0,65.4,10.2,27.6,6.0,24,0
307,Staten Island,Bin 5,Italian Restaurant,43.2,34202.0,30.7,13.5,6.6,15.5,19,0
308,Manhattan,West Harlem Piers Park,Park,40.7,11947.0,22.0,25.0,7.0,19.4,34,4
309,Staten Island,Chase Bank,Bank,37.7,22573.0,37.5,17.0,7.3,16.3,3,5
310,Manhattan,P&M Pizza,Pizza Place,41.5,21559.0,30.2,28.8,5.4,11.2,5,0
311,Brooklyn,king,Chinese Restaurant,47.4,25642.0,33.4,17.2,4.3,30.8,0,1
312,Manhattan,Kaffe 1668,Coffee Shop,28.3,142738.0,70.2,4.1,20.6,9.5,164,2
313,Staten Island,Pasticceria Bruno,Café,34.8,40747.0,49.5,15.8,2.1,30.1,49,2
314,Staten Island,Main Street Deli And Grocery,Deli / Bodega,41.0,31048.0,39.0,17.5,0.8,24.5,1,3
315,Bronx,Tilila,Bar,47.2,25801.0,25.4,29.3,5.4,14.7,35,2
316,Manhattan,Bluestone Lane,Café,28.0,144947.0,72.5,2.4,6.9,13.0,154,2
317,Queens,Prima Pasta & Cafe,Italian Restaurant,37.2,40302.0,44.2,11.8,0.5,16.6,36,0
318,Manhattan,Pure Barre,Gym / Fitness Center,28.3,142738.0,70.2,4.1,20.6,9.5,12,4
319,Queens,Subway,Sandwich Place,43.3,24978.0,34.6,15.7,14.9,16.7,4,1
320,Brooklyn,Shake Shack,Burger Joint,29.5,71247.0,79.0,2.0,15.5,7.5,563,1
321,Manhattan,Chick-Fil-A,Fast Food Restaurant,32.2,98530.0,73.8,6.9,15.5,8.3,12,1
322,Queens,Rite Aid,Pharmacy,37.4,34417.0,37.9,25.0,3.5,5.0,26,3
323,Manhattan,Y7 Studio - Tribeca,Gym / Fitness Center,23.5,70170.0,60.0,7.1,28.6,3.9,20,4
324,Brooklyn,Grand Army,Seafood Restaurant,33.3,60451.0,69.0,11.1,6.7,9.9,154,1
325,Brooklyn,Tony Luke's,Sandwich Place,28.5,69786.0,65.9,11.8,17.6,9.5,20,1
326,Staten Island,K&S Bagels,Bagel Shop,41.2,34085.0,49.7,14.3,1.6,21.3,1,3
327,Bronx,Shop Smart Food Mart Soundview Ave,Grocery Store,43.0,22180.0,28.7,17.1,2.9,16.2,1,3
328,Bronx,Baskin-Robbins,Ice Cream Shop,42.8,12742.0,18.2,31.4,6.0,9.2,0,3
329,Manhattan,Emmy Squared,Pizza Place,30.8,58068.0,63.8,6.6,20.4,6.0,153,0
330,Brooklyn,Rockaway Avenue & Atlantic Avenue,Bus Stop,46.6,14719.0,24.3,30.6,3.6,17.7,0,5
331,Queens,Phil & Son's Pizzeria,Pizza Place,43.5,19780.0,27.2,28.4,8.1,8.5,10,0
332,Queens,Rolly,Korean Restaurant,42.1,35634.0,46.5,17.4,6.9,14.8,4,1
333,Brooklyn,Whole Foods Market,Grocery Store,34.0,53640.0,58.6,10.5,6.3,6.6,461,3
334,Manhattan,MTA MaBSTOA Bus at W. 125th Street & 12th Ave (West Harlem Piers Terminal): (Bx15),Bus Station,33.4,33953.0,63.3,12.4,19.6,12.5,0,5
335,Manhattan,Umi No Ie,Japanese Restaurant,27.1,55379.0,67.8,7.2,20.2,6.9,96,1
336,Manhattan,Insomnia Cookies,Bakery,28.8,60670.0,65.1,15.3,22.4,3.1,48,3
337,Queens,Sagar Chinese,Chinese Restaurant,47.1,14468.0,17.8,30.5,10.3,11.2,17,1
338,Staten Island,Mario's,Italian Restaurant,43.0,48817.0,41.4,9.6,0.7,15.3,17,0
339,Bronx,Dunkin',Donut Shop,42.9,14559.0,9.3,43.8,6.5,3.4,0,3
340,Staten Island,Christopher's Food Mart,Grocery Store,42.2,35567.0,38.8,13.4,2.3,18.3,4,3
341,Staten Island,Staten Island Fish Fry,Seafood Restaurant,46.9,35375.0,45.8,19.7,16.1,13.0,0,1
342,Staten Island,Chase Bank,Bank,34.8,40747.0,49.5,15.8,2.1,30.1,5,5
343,Staten Island,Taqueria El Gallo Azteca,Mexican Restaurant,46.9,35375.0,45.8,19.7,16.1,13.0,12,1
344,Brooklyn,Roebling Pizza,Pizza Place,27.5,16314.0,43.5,13.8,24.5,7.5,14,0
345,Brooklyn,FYBO Gym,Gym,37.1,25254.0,35.0,24.8,11.4,13.6,0,4
346,Manhattan,Picasso Pizzeria,Pizza Place,33.5,105958.0,77.1,6.9,22.7,8.0,25,0
347,Queens,"MTA NYCT Q17 MTABus QM1, QM5, QM7, QM8, QM31, QM35 (188 Street/73rd Avenue)",Bus Station,40.2,30178.0,42.4,16.8,3.6,12.4,1,5
348,Manhattan,Sweet Chef Southern Style Bakery,Bakery,38.4,22172.0,31.3,29.7,7.7,12.0,9,3
349,Brooklyn,Wing Hua,Chinese Restaurant,35.9,68519.0,71.1,8.7,10.1,19.4,3,1
350,Queens,Red Lotus Bakery And Cafe,Bakery,37.0,36960.0,44.7,14.5,4.6,18.1,5,3
351,Queens,Baskin-Robbins,Ice Cream Shop,34.8,13313.0,35.8,25.2,23.4,7.5,0,3
352,Queens,Maggie Mae's Bar,Bar,39.1,34488.0,38.6,24.3,7.5,9.8,90,2
353,Bronx,The Bronx Beer Hall,Bar,40.8,13881.0,25.1,35.3,19.0,9.8,133,2
354,Brooklyn,Joseph Dream Burger,Burger Joint,38.6,32624.0,41.7,12.1,6.6,28.8,1,1
355,Brooklyn,Walter Sports,American Restaurant,31.6,62145.0,75.9,6.5,4.9,4.9,738,1
356,Manhattan,Subway,Sandwich Place,38.7,17854.0,24.9,33.0,11.8,12.6,1,1
357,Bronx,Spuyten Duyvil Shorefront Park,Park,37.6,70483.0,72.3,6.8,2.2,16.2,2,4
358,Manhattan,Granny Annie’s Bar & Restaurant,American Restaurant,37.0,50463.0,73.6,6.4,5.1,16.7,3,1
359,Bronx,Franks Original Pizza Italia,Pizza Place,48.3,24276.0,34.9,21.3,3.1,25.9,24,0
360,Queens,Dunkin',Donut Shop,43.8,39540.0,50.7,14.0,2.6,18.7,13,3
361,Manhattan,Zawa,Sushi Restaurant,25.5,121044.0,71.4,4.6,40.7,6.0,10,1
362,Manhattan,El Porton,Mexican Restaurant,33.4,33953.0,63.3,12.4,19.6,12.5,43,1
363,Queens,Kids 'N Shape,Gym / Fitness Center,37.2,40302.0,44.2,11.8,0.5,16.6,16,4
364,Manhattan,The Capital Grille,American Restaurant,24.9,89303.0,71.9,3.0,27.8,5.9,252,1
365,Bronx,Ray's Pizza Express,Pizza Place,46.3,57617.0,65.0,15.6,6.5,18.5,1,0
366,Bronx,MTA New York City Bus - Bx27/Bx39 @ Clason Point,Bus Stop,43.0,22180.0,28.7,17.1,2.9,16.2,1,5
367,Bronx,Estrellita Poblana V,Mexican Restaurant,41.9,31090.0,35.8,28.9,5.5,14.5,24,1
368,Manhattan,Davey's Ice Cream,Ice Cream Shop,30.3,55645.0,66.3,13.4,21.6,8.3,593,3
369,Queens,Plaza Express Deli & Grill,Deli / Bodega,32.4,32673.0,36.2,23.7,7.3,3.4,5,3
370,Manhattan,Subway,Sandwich Place,38.4,22172.0,31.3,29.7,7.7,12.0,2,1
371,Bronx,Artuso Pastry Shop,Bakery,39.5,10723.0,15.6,29.4,17.2,9.2,76,3
372,Manhattan,Silver Moon Bakery,Bakery,37.2,71348.0,74.2,8.2,7.3,6.9,169,3
373,Manhattan,Jimbo's Hamburger Palace,Burger Joint,41.5,21559.0,30.2,28.8,5.4,11.2,15,1
374,Manhattan,5 Napkin Burger,Burger Joint,34.9,109141.0,70.2,2.9,31.1,3.9,95,1
375,Manhattan,Little Luzzo's Pizza,Pizza Place,29.1,116699.0,75.6,8.3,15.3,8.5,26,0
376,Queens,Joe's Pork Store,Italian Restaurant,35.8,33706.0,47.7,12.6,9.4,8.9,1,0
377,Brooklyn,Carroll Park,Park,32.2,77933.0,67.5,7.8,11.2,6.7,121,4
378,Queens,Paris Baguette,Bakery,41.3,33648.0,41.2,30.6,5.0,10.3,11,3
379,Manhattan,El Diablito Taqueria,Mexican Restaurant,27.1,55379.0,67.8,7.2,20.2,6.9,141,1
380,Brooklyn,Reedchy,Spa,36.0,63430.0,79.1,3.5,11.4,11.2,23,4
381,Staten Island,Donut World,Donut Shop,40.2,33030.0,36.4,26.1,0.2,23.6,3,3
382,Bronx,Joseph Scaglione Bakery,Bakery,34.5,24619.0,31.8,29.8,15.7,10.3,11,3
383,Manhattan,Coppola's,Italian Restaurant,22.7,80750.0,69.7,5.5,23.9,4.6,41,0
384,Manhattan,Rosemary's,Italian Restaurant,30.7,74869.0,82.0,5.4,28.5,7.5,7,0
385,Bronx,Honey's Thai Pavilion,Thai Restaurant,42.3,25420.0,30.3,24.0,0.0,20.7,19,1
386,Staten Island,Bagels By The Bay,Bagel Shop,43.2,34202.0,30.7,13.5,6.6,15.5,7,3
387,Brooklyn,La Villa,Pizza Place,36.0,63430.0,79.1,3.5,11.4,11.2,42,0
388,Manhattan,Hane Sushi,Sushi Restaurant,30.7,74869.0,82.0,5.4,28.5,7.5,157,1
389,Bronx,Tino's Delicatessen,Italian Restaurant,40.8,13881.0,25.1,35.3,19.0,9.8,147,0
390,Bronx,Kee Hing Restaurant,Chinese Restaurant,33.7,19260.0,23.6,38.4,9.3,23.3,2,1
391,Brooklyn,Chase Bank,Bank,49.8,18133.0,18.0,37.8,5.2,22.1,8,5
392,Manhattan,Chase Bank,Bank,40.7,11947.0,22.0,25.0,7.0,19.4,2,5
393,Manhattan,Dulce Vida Latin Bistro,Latin American Restaurant,26.8,141682.0,79.0,1.7,11.6,2.9,122,1
394,Manhattan,Aerial Arts NYC,Gym,24.6,120863.0,65.9,7.6,42.9,5.8,19,4
395,Bronx,Big Deal Supermarket,Grocery Store,36.2,23930.0,38.4,16.5,17.1,11.0,24,3
396,Manhattan,Shake Shack,Burger Joint,23.6,115333.0,75.1,3.8,35.9,6.2,1587,1
397,Staten Island,Jac Mao,Chinese Restaurant,40.5,31408.0,35.4,23.7,5.0,17.0,11,1
398,Brooklyn,Slope Fitness,Gym / Fitness Center,40.7,70579.0,75.6,3.9,5.0,12.4,25,4
399,Queens,Vino by the Sea,Wine Shop,52.9,23979.0,33.8,25.5,2.1,19.7,1,3
400,Queens,Alfie's Pizza,Pizza Place,46.8,24046.0,44.6,22.1,10.1,12.4,23,0
401,Brooklyn,La Bicyclette Bakery,Bakery,33.6,51020.0,64.8,11.2,3.9,7.8,14,3
402,Brooklyn,The Grocery,American Restaurant,32.2,77933.0,67.5,7.8,11.2,6.7,40,1
403,Manhattan,Maestro Pasta,Italian Restaurant,23.7,77456.0,74.4,5.0,28.0,5.2,11,0
404,Manhattan,Massage Envy,Spa,28.5,89203.0,67.6,11.1,33.0,4.2,9,4
405,Staten Island,Rosebank Pizza,Pizza Place,40.5,28115.0,43.8,24.3,5.1,29.7,3,0
406,Manhattan,Vine Tree,Café,40.8,25720.0,32.4,23.4,8.0,12.7,3,2
407,Manhattan,Veritas Studio Wines,Wine Shop,28.5,89203.0,67.6,11.1,33.0,4.2,8,3
408,Queens,Caffeina Espresso Bar,Café,28.9,74751.0,70.2,9.5,1.9,8.5,18,2
409,Brooklyn,China tokyo brooklyn ny,Chinese Restaurant,43.2,40692.0,40.5,22.5,7.3,31.5,2,1
410,Brooklyn,Gold Star Food,American Restaurant,55.1,16528.0,27.8,32.6,7.4,25.3,0,1
411,Manhattan,Coffee Factory,Coffee Shop,36.2,16655.0,24.6,31.7,13.1,3.9,30,2
412,Bronx,Blink Fitness,Gym,38.8,13290.0,19.5,40.5,10.1,15.2,1,4
413,Manhattan,Luke's Lobster,Seafood Restaurant,26.1,111599.0,67.6,2.6,24.1,4.6,155,1
414,Queens,Subway,Sandwich Place,42.9,20317.0,19.0,31.0,2.9,13.3,2,1
415,Brooklyn,Bridge Coffee Shop,Café,32.9,100012.0,79.5,4.0,7.6,6.7,23,2
416,Brooklyn,ChinaTokyo,Chinese Restaurant,43.2,40692.0,40.5,22.5,7.3,31.5,5,1
417,Brooklyn,GoBo's,Café,37.0,19104.0,41.8,10.4,27.1,5.2,6,2
418,Manhattan,Xi’an Famous Foods,Chinese Restaurant,25.7,136078.0,93.1,0.0,58.6,0.0,5,1
419,Bronx,Rincon Ecuatoriano,Latin American Restaurant,45.4,17986.0,35.4,20.9,3.0,15.5,0,1
420,Bronx,Pizza Hut,Pizza Place,48.4,18825.0,24.3,29.6,6.7,16.8,4,0
421,Staten Island,Vincent's Pizzeria,Pizza Place,42.2,35567.0,38.8,13.4,2.3,18.3,0,0
422,Queens,Casa Del Chef Bistro,American Restaurant,34.3,18147.0,26.4,21.0,12.6,6.2,26,1
423,Manhattan,Silverstein Family Park,Park,23.6,115333.0,75.1,3.8,35.9,6.2,27,4
424,Brooklyn,Take A Break & I’ll Bake Cafe & Creperie,Café,35.9,68519.0,71.1,8.7,10.1,19.4,6,2
425,Manhattan,44 & X,American Restaurant,28.5,89203.0,67.6,11.1,33.0,4.2,114,1
426,Queens,Recovery Room sports bar,Bar,39.7,16854.0,20.0,31.4,9.1,14.1,9,2
427,Manhattan,Blink Fitness,Gym,41.9,31090.0,35.8,28.9,5.5,14.5,32,4
428,Bronx,Clinton Hall,American Restaurant,39.5,10723.0,15.6,29.4,17.2,9.2,13,1
429,Staten Island,Bocelli,Italian Restaurant,37.9,23240.0,39.5,12.1,1.2,25.1,35,0
430,Manhattan,Ichiro,Japanese Restaurant,30.7,91861.0,75.7,3.4,12.7,6.1,104,1
431,Bronx,Playground 52,Playground,42.1,11959.0,18.1,40.4,6.2,4.6,1,5
432,Brooklyn,Alma,Mexican Restaurant,37.6,56582.0,66.3,6.0,5.5,13.3,97,1
433,Queens,Vincenzo's pizza,Pizza Place,43.1,33256.0,54.9,13.5,3.6,13.3,5,0
434,Manhattan,Lex Restaurant,Italian Restaurant,29.1,116699.0,75.6,8.3,15.3,8.5,18,0
